signal,horizon,rank_ic,ic_lo,ic_hi
microprice_deviation,1,0.0742882326261189,0.06591640965693811,0.08243757016383148
microprice_deviation,5,0.11504786912732017,0.10714782533731869,0.12558596190111943
microprice_deviation,10,0.149884855779309,0.13914737923399667,0.15926602923663502
microprice_deviation,25,0.2189837308670155,0.20107899862967293,0.2334558535490977
microprice_deviation,50,0.27416347425330667,0.25458475749177084,0.29226810810412757
microprice_deviation,100,0.3060257328449498,0.2789552449107476,0.3270362048949605
ofi,1,0.08342664276965453,0.077330183299272,0.08999815778858769
ofi,5,0.13207739132522797,0.1210536924069325,0.1431679043239908
ofi,10,0.15005158828622514,0.13833975052448366,0.16059040866799829
ofi,25,0.15038721732020727,0.13931499059662414,0.1632082752964615
ofi,50,0.15766196456572198,0.1456255139207742,0.17196109950566693
ofi,100,0.16787863585135987,0.15222540945526328,0.18406482570302932
queue_imbalance,1,0.08749879629561128,0.07712153607658602,0.09504864347837262
queue_imbalance,5,0.1229413437441034,0.11372071811586003,0.13150564226414926
queue_imbalance,10,0.1556438379184871,0.14587441417181046,0.16788941806242919
queue_imbalance,25,0.22025558841261195,0.20415142417948032,0.2361949798910833
queue_imbalance,50,0.2667618515329391,0.24838067836227756,0.28636306016250473
queue_imbalance,100,0.2920279390518332,0.26868619511729375,0.31497626757079916
spread,1,0.00028555398783532165,-0.005891147053792066,0.007755086426306263
spread,5,0.003016297105888216,-0.004974715626672627,0.009974461716526934
spread,10,0.004339724739592139,-0.004267266059317221,0.013275221275035373
spread,25,-0.00033532217832413306,-0.00987969295810043,0.010194663224667583
spread,50,-0.0008154570776913523,-0.013949224621437195,0.014538893453941517
spread,100,0.00873290765032509,-0.0055297271544776806,0.02067698808263957
