instrument,signal,horizon,rank_ic
AAPL,ofi,1,0.10979979763082322
AAPL,ofi,5,0.16465410978061307
AAPL,ofi,10,0.18144856694494105
AAPL,ofi,25,0.16462438088001152
AAPL,ofi,50,0.11708373776281047
AAPL,ofi,100,0.09171151305145649
AAPL,queue_imbalance,1,0.10784354912943211
AAPL,queue_imbalance,5,0.0809631199288862
AAPL,queue_imbalance,10,0.06273286154257811
AAPL,queue_imbalance,25,0.034066050671801726
AAPL,queue_imbalance,50,0.018135706276910062
AAPL,queue_imbalance,100,0.011231640798447486
AAPL,microprice_deviation,1,0.0934463547539663
AAPL,microprice_deviation,5,0.0699648692324525
AAPL,microprice_deviation,10,0.05446880444741863
AAPL,microprice_deviation,25,0.026869685064204556
AAPL,microprice_deviation,50,0.01367535566878373
AAPL,microprice_deviation,100,0.010097487792775776
AAPL,spread,1,0.0018756108150958489
AAPL,spread,5,0.02113010229741821
AAPL,spread,10,0.025929342523124527
AAPL,spread,25,0.0326024835404459
AAPL,spread,50,0.03183268688986778
AAPL,spread,100,0.03412345410780629
AMZN,ofi,1,0.12193620031661231
AMZN,ofi,5,0.203496811330326
AMZN,ofi,10,0.2223066954759909
AMZN,ofi,25,0.19211864886648522
AMZN,ofi,50,0.14880134620954186
AMZN,ofi,100,0.09136254325745498
AMZN,queue_imbalance,1,0.17794156823875135
AMZN,queue_imbalance,5,0.1699020618672537
AMZN,queue_imbalance,10,0.15066843956374884
AMZN,queue_imbalance,25,0.1076188678107311
AMZN,queue_imbalance,50,0.06952236739682052
AMZN,queue_imbalance,100,0.03114625124689421
AMZN,microprice_deviation,1,0.15930998931364718
AMZN,microprice_deviation,5,0.1588214738982812
AMZN,microprice_deviation,10,0.14484278131753867
AMZN,microprice_deviation,25,0.10817860934018271
AMZN,microprice_deviation,50,0.07332927119167494
AMZN,microprice_deviation,100,0.03740288784329076
AMZN,spread,1,0.021902793815087234
AMZN,spread,5,0.03116859803404057
AMZN,spread,10,0.03696586347394348
AMZN,spread,25,0.029460877129001063
AMZN,spread,50,0.025613727258087225
AMZN,spread,100,0.013691682733253536
GOOG,ofi,1,0.10447992108359612
GOOG,ofi,5,0.15598439263290761
GOOG,ofi,10,0.18303363066826683
GOOG,ofi,25,0.17178264119038955
GOOG,ofi,50,0.1418027695770048
GOOG,ofi,100,0.10115153051746387
GOOG,queue_imbalance,1,0.10458914838012194
GOOG,queue_imbalance,5,0.12877846314716665
GOOG,queue_imbalance,10,0.11269698737992646
GOOG,queue_imbalance,25,0.09319485614242053
GOOG,queue_imbalance,50,0.06489042948623719
GOOG,queue_imbalance,100,0.02373000239663085
GOOG,microprice_deviation,1,0.09551735045078637
GOOG,microprice_deviation,5,0.12212981941351571
GOOG,microprice_deviation,10,0.10555212203816805
GOOG,microprice_deviation,25,0.08994429731034098
GOOG,microprice_deviation,50,0.06389542690308601
GOOG,microprice_deviation,100,0.02259168123214983
GOOG,spread,1,0.009569302039075338
GOOG,spread,5,-0.02216782571478285
GOOG,spread,10,-0.01891968981249794
GOOG,spread,25,-0.023436236811170453
GOOG,spread,50,-0.029008179196324414
GOOG,spread,100,-0.039743435616530015
INTC,ofi,1,0.04572330449335919
INTC,ofi,5,0.08585124839256257
INTC,ofi,10,0.10755100393524354
INTC,ofi,25,0.1388176277882655
INTC,ofi,50,0.1740313344569805
INTC,ofi,100,0.20208849501452525
INTC,queue_imbalance,1,0.08272784056288163
INTC,queue_imbalance,5,0.1705509234765671
INTC,queue_imbalance,10,0.22759114014933113
INTC,queue_imbalance,25,0.3162433366390476
INTC,queue_imbalance,50,0.38276467213358706
INTC,queue_imbalance,100,0.42548529221774456
INTC,microprice_deviation,1,0.08067513772115933
INTC,microprice_deviation,5,0.16487913177198785
INTC,microprice_deviation,10,0.2199232786227491
INTC,microprice_deviation,25,0.3085079154664319
INTC,microprice_deviation,50,0.3819647109903705
INTC,microprice_deviation,100,0.4305699516359492
INTC,spread,1,-0.004375529544988966
INTC,spread,5,-0.007262858850220835
INTC,spread,10,-0.00926659597228826
INTC,spread,25,-0.009140434030614293
INTC,spread,50,-0.002943936818792781
INTC,spread,100,0.017406909854496264
MSFT,ofi,1,0.046916453922871304
MSFT,ofi,5,0.09124286890916623
MSFT,ofi,10,0.11386254034907707
MSFT,ofi,25,0.15098059752823945
MSFT,ofi,50,0.19883242423890946
MSFT,ofi,100,0.24330095383286557
MSFT,queue_imbalance,1,0.09640475013858131
MSFT,queue_imbalance,5,0.19826980163100966
MSFT,queue_imbalance,10,0.26260083052797095
MSFT,queue_imbalance,25,0.35656792316366887
MSFT,queue_imbalance,50,0.41004465734611195
MSFT,queue_imbalance,100,0.4250188880168064
MSFT,microprice_deviation,1,0.09552900082476291
MSFT,microprice_deviation,5,0.19461655334967926
MSFT,microprice_deviation,10,0.256701064316713
MSFT,microprice_deviation,25,0.3502763528156995
MSFT,microprice_deviation,50,0.4140521406670315
MSFT,microprice_deviation,100,0.43631484325556263
MSFT,spread,1,-0.003128560340178569
MSFT,spread,5,-0.00674003275373036
MSFT,spread,10,-0.009818661078512973
MSFT,spread,25,-0.015550692166948661
MSFT,spread,50,-0.012319132143682012
MSFT,spread,100,0.005005617013013476
