regime_dimension,regime,signal,horizon,n_obs,rank_ic
spread_regime,low,ofi,1,302940,0.07418077809908243
spread_regime,low,ofi,5,302940,0.11500572797530587
spread_regime,low,ofi,10,302940,0.13438895034162454
spread_regime,low,ofi,25,302940,0.13100277758426504
spread_regime,low,ofi,50,302940,0.1167168148389876
spread_regime,low,ofi,100,302940,0.1140059714619881
spread_regime,low,queue_imbalance,1,302940,0.11922392379210923
spread_regime,low,queue_imbalance,5,302940,0.1430684740688929
spread_regime,low,queue_imbalance,10,302940,0.16756027275920377
spread_regime,low,queue_imbalance,25,302940,0.22234975937171603
spread_regime,low,queue_imbalance,50,302940,0.2431688590379044
spread_regime,low,queue_imbalance,100,302940,0.2497119798047334
spread_regime,low,microprice_deviation,1,302940,0.09853236815031866
spread_regime,low,microprice_deviation,5,302940,0.1328678908041833
spread_regime,low,microprice_deviation,10,302940,0.16347071460458507
spread_regime,low,microprice_deviation,25,302940,0.2260534315383463
spread_regime,low,microprice_deviation,50,302940,0.2522070375598817
spread_regime,low,microprice_deviation,100,302940,0.26264577270093864
spread_regime,low,spread,1,302940,-0.012592802822977292
spread_regime,low,spread,5,302940,-0.0059190500646407905
spread_regime,low,spread,10,302940,0.001818284608541391
spread_regime,low,spread,25,302940,0.005619276932064532
spread_regime,low,spread,50,302940,0.01173797271145236
spread_regime,low,spread,100,302940,0.02350790592637597
spread_regime,medium,ofi,1,323637,0.08839904293498205
spread_regime,medium,ofi,5,323637,0.1469784097965304
spread_regime,medium,ofi,10,323637,0.1748387893405104
spread_regime,medium,ofi,25,323637,0.17667692392584158
spread_regime,medium,ofi,50,323637,0.17066065423749469
spread_regime,medium,ofi,100,323637,0.15902226258852595
spread_regime,medium,queue_imbalance,1,323637,0.07893679097747758
spread_regime,medium,queue_imbalance,5,323637,0.1278573494210363
spread_regime,medium,queue_imbalance,10,323637,0.16956086417294222
spread_regime,medium,queue_imbalance,25,323637,0.23897365790129346
spread_regime,medium,queue_imbalance,50,323637,0.2777033393501553
spread_regime,medium,queue_imbalance,100,323637,0.281716870643594
spread_regime,medium,microprice_deviation,1,323637,0.0755632663955386
spread_regime,medium,microprice_deviation,5,323637,0.12488608872322245
spread_regime,medium,microprice_deviation,10,323637,0.16484438268867416
spread_regime,medium,microprice_deviation,25,323637,0.2333439385481983
spread_regime,medium,microprice_deviation,50,323637,0.2730461152773461
spread_regime,medium,microprice_deviation,100,323637,0.2787214071490213
spread_regime,medium,spread,1,323637,0.0038603001945625892
spread_regime,medium,spread,5,323637,0.003059319358886042
spread_regime,medium,spread,10,323637,0.006921540926613157
spread_regime,medium,spread,25,323637,0.002820995383973461
spread_regime,medium,spread,50,323637,0.0009256347336850568
spread_regime,medium,spread,100,323637,-0.0008636116461073236
spread_regime,high,ofi,1,322252,0.09062095031715739
spread_regime,high,ofi,5,322252,0.13514916211764477
spread_regime,high,ofi,10,322252,0.13941123507735306
spread_regime,high,ofi,25,322252,0.14079885152640823
spread_regime,high,ofi,50,322252,0.1830903707854299
spread_regime,high,ofi,100,322252,0.23038543270308035
spread_regime,high,queue_imbalance,1,322252,0.05562557291327641
spread_regime,high,queue_imbalance,5,322252,0.09368433781079509
spread_regime,high,queue_imbalance,10,322252,0.1277110166375268
spread_regime,high,queue_imbalance,25,322252,0.200530141756872
spread_regime,high,queue_imbalance,50,322252,0.28160768981259876
spread_regime,high,queue_imbalance,100,322252,0.35205984294416737
spread_regime,high,microprice_deviation,1,322252,0.05233068785948556
spread_regime,high,microprice_deviation,5,322252,0.09292366797636863
spread_regime,high,microprice_deviation,10,322252,0.1273094784163541
spread_regime,high,microprice_deviation,25,322252,0.20322403210687057
spread_regime,high,microprice_deviation,50,322252,0.2901476687859949
spread_regime,high,microprice_deviation,100,322252,0.36554330412822494
spread_regime,high,spread,1,322252,0.006685656929558552
spread_regime,high,spread,5,322252,0.012885165603457342
spread_regime,high,spread,10,322252,0.01261247924144821
spread_regime,high,spread,25,322252,0.00889556761126018
spread_regime,high,spread,50,322252,0.009165000891976666
spread_regime,high,spread,100,322252,0.02496584118751365
volatility_regime,low,ofi,1,355803,0.09527807742703517
volatility_regime,low,ofi,5,355803,0.15322449696197815
volatility_regime,low,ofi,10,355803,0.1748974077384407
volatility_regime,low,ofi,25,355803,0.17239264856519793
volatility_regime,low,ofi,50,355803,0.1640026942949377
volatility_regime,low,ofi,100,355803,0.16176880135702423
volatility_regime,low,queue_imbalance,1,355803,0.09598376464547057
volatility_regime,low,queue_imbalance,5,355803,0.12591984424670324
volatility_regime,low,queue_imbalance,10,355803,0.1502909132982102
volatility_regime,low,queue_imbalance,25,355803,0.2013222464524992
volatility_regime,low,queue_imbalance,50,355803,0.23096269593171473
volatility_regime,low,queue_imbalance,100,355803,0.25149953181035206
volatility_regime,low,microprice_deviation,1,355803,0.07949475157316375
volatility_regime,low,microprice_deviation,5,355803,0.11576475418886205
volatility_regime,low,microprice_deviation,10,355803,0.14234675264897345
volatility_regime,low,microprice_deviation,25,355803,0.1986580023070527
volatility_regime,low,microprice_deviation,50,355803,0.23410252618879623
volatility_regime,low,microprice_deviation,100,355803,0.26034480931602316
volatility_regime,low,spread,1,355803,0.0052665975517537334
volatility_regime,low,spread,5,355803,0.007398928625668584
volatility_regime,low,spread,10,355803,0.010158201193457271
volatility_regime,low,spread,25,355803,0.00532994941317393
volatility_regime,low,spread,50,355803,0.00374513286124627
volatility_regime,low,spread,100,355803,0.014482527511739625
volatility_regime,medium,ofi,1,302049,0.08286339779739559
volatility_regime,medium,ofi,5,302049,0.13324877129685803
volatility_regime,medium,ofi,10,302049,0.15178520850009572
volatility_regime,medium,ofi,25,302049,0.14847143219925807
volatility_regime,medium,ofi,50,302049,0.1621513092213772
volatility_regime,medium,ofi,100,302049,0.18108229512997934
volatility_regime,medium,queue_imbalance,1,302049,0.08211302932435126
volatility_regime,medium,queue_imbalance,5,302049,0.11987156788206929
volatility_regime,medium,queue_imbalance,10,302049,0.15508166004079268
volatility_regime,medium,queue_imbalance,25,302049,0.22438573158107994
volatility_regime,medium,queue_imbalance,50,302049,0.2757011484073087
volatility_regime,medium,queue_imbalance,100,302049,0.3053312229413042
volatility_regime,medium,microprice_deviation,1,302049,0.07006602567290122
volatility_regime,medium,microprice_deviation,5,302049,0.11270757587544851
volatility_regime,medium,microprice_deviation,10,302049,0.15065581398199862
volatility_regime,medium,microprice_deviation,25,302049,0.22482837903802236
volatility_regime,medium,microprice_deviation,50,302049,0.2867145528391142
volatility_regime,medium,microprice_deviation,100,302049,0.3226705275714633
volatility_regime,medium,spread,1,302049,0.00029520894273738955
