signal,horizon,n_obs,rank_ic,ic_lo,ic_hi,pearson,p_value,p_value_floor,n_shifts,ic_significant,bh_threshold,bh_reject,bonferroni_reject,n_hypotheses,n_tested_in_this_table
ofi,1,953729,0.08342664276965453,0.077330183299272,0.08999815778858769,0.03289270269796735,1.0529297243114103e-06,1.0529297243114103e-06,949730,True,0.0003240740740740741,True,True,1080,24
ofi,5,953709,0.13207739132522797,0.1210536924069325,0.1431679043239908,0.09140393803427281,1.0529518979984437e-06,1.0529518979984437e-06,949710,True,0.0003703703703703704,True,True,1080,24
ofi,10,953684,0.15005158828622514,0.13833975052448366,0.16059040866799829,0.11362853014018051,1.0529796164205854e-06,1.0529796164205854e-06,949685,True,0.0005092592592592593,True,True,1080,24
ofi,25,953609,0.15038721732020727,0.13931499059662414,0.1632082752964615,0.11581528766953718,1.0530627804437817e-06,1.0530627804437817e-06,949610,True,0.0005555555555555557,True,True,1080,24
ofi,50,953484,0.15766196456572198,0.1456255139207742,0.17196109950566693,0.09886255271988464,1.0532014163452648e-06,1.0532014163452648e-06,949485,True,0.0006944444444444445,True,True,1080,24
ofi,100,953234,0.16787863585135987,0.15222540945526328,0.18406482570302932,0.07971486474552054,1.0534787976857179e-06,1.0534787976857179e-06,949235,True,0.0008333333333333334,True,True,1080,24
queue_imbalance,1,953824,0.08749879629561128,0.07712153607658602,0.09504864347837262,0.07737926853381781,1.0528244120502072e-06,1.0528244120502072e-06,949825,True,4.62962962962963e-05,True,True,1080,24
queue_imbalance,5,953804,0.1229413437441034,0.11372071811586003,0.13150564226414926,0.14511004791310209,1.0528465813018658e-06,1.0528465813018658e-06,949805,True,0.0001851851851851852,True,True,1080,24
queue_imbalance,10,953779,0.1556438379184871,0.14587441417181046,0.16788941806242919,0.1761098771191642,1.052874294179395e-06,1.052874294179395e-06,949780,True,0.00027777777777777783,True,True,1080,24
queue_imbalance,25,953704,0.22025558841261195,0.20415142417948032,0.2361949798910833,0.20704895270135712,1.0529574415661268e-06,1.0529574415661268e-06,949705,True,0.0004166666666666667,True,True,1080,24
queue_imbalance,50,953579,0.2667618515329391,0.24838067836227756,0.28636306016250473,0.21790070422524185,1.0530960497314077e-06,1.0530960497314077e-06,949580,True,0.0006018518518518519,True,True,1080,24
queue_imbalance,100,953329,0.2920279390518332,0.26868619511729375,0.31497626757079916,0.21572423719034312,1.0533733755665831e-06,1.0533733755665831e-06,949330,True,0.0007407407407407408,True,True,1080,24
microprice_deviation,1,953824,0.0742882326261189,0.06591640965693811,0.08243757016383148,0.0632940747713691,1.0528244120502072e-06,1.0528244120502072e-06,949825,True,9.25925925925926e-05,True,True,1080,24
microprice_deviation,5,953804,0.11504786912732017,0.10714782533731869,0.12558596190111943,0.12588226322795687,1.0528465813018658e-06,1.0528465813018658e-06,949805,True,0.00013888888888888892,True,True,1080,24
microprice_deviation,10,953779,0.149884855779309,0.13914737923399667,0.15926602923663502,0.15588437243552744,1.052874294179395e-06,1.052874294179395e-06,949780,True,0.0002314814814814815,True,True,1080,24
microprice_deviation,25,953704,0.2189837308670155,0.20107899862967293,0.2334558535490977,0.18701766537552922,1.0529574415661268e-06,1.0529574415661268e-06,949705,True,0.000462962962962963,True,True,1080,24
microprice_deviation,50,953579,0.27416347425330667,0.25458475749177084,0.29226810810412757,0.20203334171626297,1.0530960497314077e-06,1.0530960497314077e-06,949580,True,0.0006481481481481482,True,True,1080,24
microprice_deviation,100,953329,0.3060257328449498,0.2789552449107476,0.3270362048949605,0.20527249998738864,1.0533733755665831e-06,1.0533733755665831e-06,949330,True,0.0007870370370370372,True,True,1080,24
spread,1,953824,0.00028555398783532165,-0.005891147053792066,0.007755086426306263,-0.00649272932097504,0.8484417145877244,1.0528244120502072e-06,949825,False,0.0010185185185185186,False,False,1080,24
spread,5,953804,0.003016297105888216,-0.004974715626672627,0.009974461716526934,-0.007396881918880986,0.7974649560015413,1.0528465813018658e-06,949805,False,0.0009722222222222223,False,False,1080,24
spread,10,953779,0.004339724739592139,-0.004267266059317221,0.013275221275035373,-0.007708576511751421,0.678464825049143,1.052874294179395e-06,949780,False,0.000925925925925926,False,False,1080,24
spread,25,953704,-0.00033532217832413306,-0.00987969295810043,0.010194663224667583,-0.010712800553053263,0.9703087060627184,1.0529574415661268e-06,949705,False,0.0011111111111111113,False,False,1080,24
spread,50,953579,-0.0008154570776913523,-0.013949224621437195,0.014538893453941517,-0.011566554516808861,0.9225489979264538,1.0530960497314077e-06,949580,False,0.0010648148148148149,False,False,1080,24
spread,100,953329,0.00873290765032509,-0.0055297271544776806,0.02067698808263957,-0.006347818763103058,0.39319373327111407,1.0533733755665831e-06,949330,False,0.0008796296296296297,False,False,1080,24
