bucket,n,mean_forward_return,std,stderr,signal_mean
1,95378,-2.5771810553587138e-05,0.00010861359700859707,3.516900577167126e-07,-0.00017795018891040665
2,95378,-1.5254955697959274e-05,7.23958441522726e-05,2.3441723052729375e-07,-9.646911826945028e-05
3,95378,-7.5821722948929376e-06,5.7075157688936566e-05,1.8480895628770824e-07,-5.822173910496829e-05
4,95378,-4.884879167831012e-06,5.424601453288627e-05,1.7564821078950494e-07,-2.9298165857268735e-05
5,95378,-3.564464900662038e-06,8.126895415952686e-05,2.63148297875436e-07,-5.147303028923361e-06
6,95377,9.456955899480039e-07,5.116728035664488e-05,1.6568015988319954e-07,1.5003143054398145e-05
7,95378,3.361953530790356e-06,5.4330813136277505e-05,1.7592278806658931e-07,4.121761233907603e-05
8,95378,7.3391117837070724e-06,6.311273866900842e-05,2.0435860073215775e-07,7.263631568611284e-05
9,95378,1.4846203442005643e-05,7.505018602555575e-05,2.4301197071015454e-07,0.0001158454279227808
10,95378,1.8993449496418405e-05,0.00010857223161830649,3.515561168759759e-07,0.00020660535498767286
