bucket,n,mean_forward_return,std,stderr,signal_mean
1,95369,-2.0191979377515556e-05,0.00011636027637532188,3.767915283345057e-07,-1.9610769166718867
2,95368,-1.0034947042086615e-05,7.4229460310127e-05,2.4036706774829567e-07,-0.36012650127505114
3,95368,-7.885670578632642e-06,6.640397083149295e-05,2.1502685980638524e-07,-0.16082474061095817
4,95369,-2.8212845375891513e-06,5.680014550828643e-05,1.839271468096008e-07,-0.06522180613388086
5,95368,-8.694290368149722e-07,5.40497112462132e-05,1.750217575422935e-07,-0.012687755324149735
6,95368,-1.9753937364325475e-07,4.472496595825665e-05,1.4482671539862768e-07,0.007841160565433065
7,95369,6.008612576016772e-07,5.320291028928183e-05,1.722787750613629e-07,0.052790766852712195
8,95368,4.171732390257415e-06,5.921877227418759e-05,1.9176001802694754e-07,0.1387655539010354
9,95368,9.69075104924272e-06,7.419124025987929e-05,2.4024330500815376e-07,0.3272328522654736
10,95369,1.5914890924350662e-05,0.00011807720979969388,3.823512089159702e-07,1.8465079171737284
