bucket,n,mean_forward_return,std,stderr,signal_mean
1,95378,-2.7697958086640323e-05,0.0001064186958008826,3.445829831543769e-07,-0.7481517043948246
2,95378,-1.2444329243235666e-05,6.79251639833738e-05,2.1994119980980882e-07,-0.4278336399243532
3,95378,-7.748709101759932e-06,6.51895800487522e-05,2.110833984078367e-07,-0.2815560759350285
4,95378,-5.202147714567769e-06,5.23653095980332e-05,1.695585015329905e-07,-0.14837706266171408
5,95378,-3.964508596621857e-06,8.31702421161504e-05,2.693046548106372e-07,-0.027046535306391884
6,95377,9.937970685929674e-07,5.243940911831793e-05,1.697993253959438e-07,0.07706788102886078
7,95378,3.726962165989248e-06,5.3332615038251147e-05,1.7269062969621682e-07,0.2113097274306705
8,95378,6.579531617171863e-06,6.498918550345018e-05,2.1043452228970388e-07,0.3428143870605501
9,95378,1.0874629942159337e-05,7.276625955380076e-05,2.3561663297349288e-07,0.5111227103938543
10,95378,2.3310863681173887e-05,0.00010839452836017814,3.509807149849708e-07,0.8170688404044305
