bucket,n,mean_forward_return,std,stderr,signal_mean
1,95378,-2.402220632480531e-06,0.00010122742826659974,3.2777369565227597e-07,0.00021448866255782724
2,95378,-3.9408327336194073e-07,5.187991454269238e-05,1.6798679578223898e-07,0.00032474885548628704
3,95378,1.1550752452623936e-07,4.908941402201996e-05,1.5895117486365253e-07,0.00032893232421233123
4,95378,-6.478653433995763e-07,7.036069128435433e-05,2.2782741995759261e-07,0.0003471157239334774
5,95378,-6.850891049473525e-07,5.0326441619139965e-05,1.6295666146026959e-07,0.0003679910202765034
6,95377,-1.0969184805928421e-06,4.101717655799029e-05,1.3281402338990493e-07,0.00037301713957250206
7,95378,-1.8103300805806234e-06,0.00010710968249905295,3.468203931882401e-07,0.0004961249324958514
8,95378,-1.8520620614804398e-06,5.682930246048126e-05,1.840128787995595e-07,0.0006528984213177797
9,95378,-1.3416798733674397e-06,7.78183130248456e-05,2.519751463249938e-07,0.0007074583413554359
10,95378,-1.4571488623660682e-06,0.00011473546763986096,3.715126314546308e-07,0.0007992617036409302
