regime_dimension,signal,horizon,ic_min,ic_max,ic_mean,ic_range
spread_regime,ofi,100,0.1140059714619881,0.23038543270308035,0.16780455558453147,0.11637946124109225
spread_regime,microprice_deviation,100,0.26264577270093864,0.36554330412822494,0.302303494659395,0.1028975314272863
spread_regime,queue_imbalance,100,0.2497119798047334,0.35205984294416737,0.2944962311308316,0.10234786313943398
volatility_regime,microprice_deviation,100,0.26034480931602316,0.3568486415539959,0.31328799281382746,0.09650383223797276
volatility_regime,microprice_deviation,50,0.23410252618879623,0.3201477553952508,0.2803216114743871,0.08604522920645458
volatility_regime,queue_imbalance,100,0.25149953181035206,0.33664129109017865,0.29782401528061164,0.08514175927982659
liquidity_regime,queue_imbalance,25,0.1855379009933172,0.26975121770934096,0.21771343411508912,0.08421331671602375
liquidity_regime,microprice_deviation,100,0.2750750432543599,0.3586255770056958,0.3042238652693808,0.08355053375133592
volatility_regime,queue_imbalance,50,0.23096269593171473,0.3087720269185523,0.2718119570858586,0.0778093309868376
liquidity_regime,ofi,25,0.12219225758002493,0.1977352506825658,0.149094203555487,0.07554299310254088
liquidity_regime,queue_imbalance,10,0.12444531825728711,0.1987053267483358,0.15461042535108152,0.07426000849104869
liquidity_regime,microprice_deviation,10,0.12405321756384044,0.19298542369928895,0.1513275122858049,0.06893220613544851
liquidity_regime,microprice_deviation,25,0.19696712346002448,0.26505146611282415,0.22034057754075434,0.06808434265279967
spread_regime,ofi,50,0.1167168148389876,0.1830903707854299,0.15682261328730407,0.06637355594644229
spread_regime,queue_imbalance,1,0.05562557291327641,0.11922392379210923,0.08459542922762107,0.06359835087883282
liquidity_regime,ofi,50,0.12543472415571577,0.18866102901339843,0.1556942164331576,0.06322630485768266
liquidity_regime,ofi,10,0.1248234554357725,0.185789514702104,0.14930019329657696,0.0609660592663315
volatility_regime,ofi,10,0.11498180273150871,0.1748974077384407,0.14722147299001506,0.05991560500693199
liquidity_regime,ofi,100,0.1354217550926275,0.19442833403873164,0.165979215648149,0.05900657894610414
volatility_regime,ofi,5,0.10116912794712934,0.15322449696197815,0.12921413206865517,0.05205536901484881
spread_regime,queue_imbalance,5,0.09368433781079509,0.1430684740688929,0.12153672043357476,0.0493841362580978
volatility_regime,ofi,25,0.12574378683341142,0.17239264856519793,0.14886928919928913,0.046648861731786506
spread_regime,microprice_deviation,1,0.05233068785948556,0.09853236815031866,0.07547544080178094,0.046201680290833096
volatility_regime,microprice_deviation,25,0.1986580023070527,0.2447960387397781,0.22276080669495105,0.046138036432725404
spread_regime,ofi,25,0.13100277758426504,0.17667692392584158,0.1494928510121716,0.045674146341576544
liquidity_regime,queue_imbalance,100,0.27160976768981415,0.3156372790447118,0.28902236899736217,0.04402751135489763
liquidity_regime,microprice_deviation,5,0.0975055137214238,0.14100976951286281,0.11508801099046735,0.04350425579143902
volatility_regime,queue_imbalance,25,0.2013222464524992,0.2447236069708581,0.22347719500147908,0.04340136051835891
liquidity_regime,ofi,5,0.11245108964495594,0.15535124646454898,0.13188775009182407,0.04290015681959304
spread_regime,queue_imbalance,10,0.1277110166375268,0.16956086417294222,0.15494405118989094,0.04184984753541543
spread_regime,ofi,10,0.13438895034162454,0.1748387893405104,0.14954632491982933,0.04044983899888585
liquidity_regime,queue_imbalance,5,0.1065651771266135,0.14692557579254448,0.1219898165493084,0.04036039866593098
spread_regime,microprice_deviation,5,0.09292366797636863,0.1328678908041833,0.1168925491679248,0.039944222827814665
liquidity_regime,spread,100,-0.016625738101266378,0.022119285704965398,0.0030869479036961986,0.03874502380623178
spread_regime,queue_imbalance,25,0.200530141756872,0.23897365790129346,0.2206178530099605,0.03844351614442146
spread_regime,queue_imbalance,50,0.2431688590379044,0.28160768981259876,0.26749329606688615,0.03843883077469437
spread_regime,microprice_deviation,50,0.2522070375598817,0.2901476687859949,0.2718002738744076,0.037940631226113186
spread_regime,microprice_deviation,10,0.1273094784163541,0.16484438268867416,0.15187485856987112,0.03753490427232006
